IRAF rvsao.linespec 2.7.9 mink@gabrielle  09-Jun-2011 14:41
4000.000A - 9000.000A by 0.500A: 10002 points in spectrum
Spread by 2.00A, shifted to z = 0.0000 = 20000.00 km/sec
  LyG 972.52 1037.40 20.00 0.50 20000.00 0.00 25.07 1.000
  LyB 1025.73 1094.16 20.00 0.50 20000.00 0.00 25.07 1.000
  Lya 1215.67 1296.77 100.00 0.50 20000.00 0.00 125.33 1.000
   NV 1240.00 1322.72 50.00 0.50 20000.00 0.00 62.67 1.000
 SiIV 1400.00 1493.40 20.00 0.50 20000.00 0.00 25.07 1.000
  CIV 1549.00 1652.34 30.00 0.50 20000.00 0.00 37.60 1.000
 CIII 1909.00 2036.35 20.00 0.50 20000.00 0.00 25.07 1.000
 MgII 2798.00 2984.66 10.00 0.50 20000.00 0.00 12.53 1.000
  OII 3727.30 3975.96 20.00 0.50 20000.00 0.00 25.07 1.000
NeIII 3868.75 4126.85 30.00 0.50 20000.00 0.00 37.60 1.000
   He 3970.10 4234.96 10.00 0.50 20000.00 0.00 12.53 1.000
 MgII 2798.00 2984.66 20.00 0.50 20000.00 0.00 25.07 1.000
   Hd 4101.75 4375.39 20.00 0.50 20000.00 0.00 25.07 1.000
   Hg 4340.47 4630.03 30.00 0.50 20000.00 0.00 37.60 1.000
   Hb 4861.33 5185.64 50.00 0.50 20000.00 0.00 62.67 1.000
 OIII 4958.91 5289.73 16.00 0.50 20000.00 0.00 20.05 1.000
 OIII 5006.84 5340.86 30.00 0.50 20000.00 0.00 37.60 1.000
   OI 6300.23 6720.54 10.00 0.50 20000.00 0.00 12.53 1.000
   N1 6548.06 6984.90 10.00 0.50 20000.00 0.00 12.53 1.000
   Ha 6562.82 7000.64 100.00 0.50 20000.00 0.00 125.33 1.000
   N2 6583.57 7022.78 50.00 0.50 20000.00 0.00 62.67 1.000
   S1 6716.44 7164.51 10.00 0.50 20000.00 0.00 12.53 1.000
   S2 6730.81 7179.85 10.00 0.50 20000.00 0.00 12.53 1.000
IRAF rvsao.linespec 2.7.9 mink@gabrielle  09-Jun-2011 14:54
4000.000A - 9000.000A by 0.500A: 10002 points in spectrum
Spread by 2.00A, shifted to z = 0.5000 = 149896.25 km/sec
  LyG 972.52 1458.78 20.00 0.50 149896.25 0.00 25.07 1.000
  LyB 1025.73 1538.59 20.00 0.50 149896.25 0.00 25.07 1.000
  Lya 1215.67 1823.51 100.00 0.50 149896.25 0.00 125.33 1.000
   NV 1240.00 1860.00 50.00 0.50 149896.25 0.00 62.67 1.000
 SiIV 1400.00 2100.00 20.00 0.50 149896.25 0.00 25.07 1.000
  CIV 1549.00 2323.50 30.00 0.50 149896.25 0.00 37.60 1.000
 CIII 1909.00 2863.50 20.00 0.50 149896.25 0.00 25.07 1.000
 MgII 2798.00 4197.00 10.00 0.50 149896.25 0.00 12.53 1.000
  OII 3727.30 5590.95 20.00 0.50 149896.25 0.00 25.07 1.000
NeIII 3868.75 5803.12 30.00 0.50 149896.25 0.00 37.60 1.000
   He 3970.10 5955.15 10.00 0.50 149896.25 0.00 12.53 1.000
 MgII 2798.00 4197.00 20.00 0.50 149896.25 0.00 25.07 1.000
   Hd 4101.75 6152.63 20.00 0.50 149896.25 0.00 25.07 1.000
   Hg 4340.47 6510.70 30.00 0.50 149896.25 0.00 37.60 1.000
   Hb 4861.33 7291.99 50.00 0.50 149896.25 0.00 62.67 1.000
 OIII 4958.91 7438.36 16.00 0.50 149896.25 0.00 20.05 1.000
 OIII 5006.84 7510.26 30.00 0.50 149896.25 0.00 37.60 1.000
   OI 6300.23 9450.34 10.00 0.50 149896.25 0.00 12.53 1.000
   N1 6548.06 9822.09 10.00 0.50 149896.25 0.00 12.53 1.000
   Ha 6562.82 9844.23 100.00 0.50 149896.25 0.00 125.33 1.000
   N2 6583.57 9875.35 50.00 0.50 149896.25 0.00 62.67 1.000
   S1 6716.44 10074.66 10.00 0.50 149896.25 0.00 12.53 1.000
   S2 6730.81 10096.22 10.00 0.50 149896.25 0.00 12.53 1.000
